protein_id,chain,class
4G7A,A,S+3(1)
5TXY,A,S+3(1)
1TE3,X,S+3(1)
4K13,A,S+3(1)
1FQL,A,S+3(1)
1HUG,A,S+3(1)
3RZ1,B,S+3(1)
3FE4,A,S+3(1)
3BL1,A,S+3(1)
3P44,A,S+3(1)
4Z1N,A,S+3(1)
1LGD,A,S+3(1)
7CA2,A,S+3(1)
1HUH,A,S+3(1)
5FNJ,A,S+3(1)
6EQU,A,S+3(1)
1YDD,A,S+3(1)
2GD8,A,S+3(1)
3MWO,A,S+3(1)
5E2S,A,S+3(1)
1CVB,A,S+3(1)
4PYY,A,S+3(1)
4DZ7,A,S+3(1)
4Q81,A,S+3(1)
1DCA,A,S+3(1)
4HEY,A,S+3(1)
1G45,A,S+3(1)
1BNT,A,S+3(1)
1MUA,A,S+3(1)
4JSS,A,S+3(1)
2CAB,A,S+3(1)
4JS6,A,S+3(1)
5EHV,A,S+3(1)
2VVA,X,S+3(1)
1BZM,A,S+3(1)
4Q6D,A,S+3(1)
5AML,A,S+3(1)
1AM6,A,S+3(1)
5EH8,A,S+3(1)
5E2N,A,S+3(1)
3DCS,A,S+3(1)
1G53,A,S+3(1)
5FL6,A,S+3(1)
4LHI,A,S+3(1)
3OYQ,A,S+3(1)
1EOU,A,S+3(1)
4ZAO,A,S+3(1)
1OQ5,A,S+3(1)
4FRC,A,S+3(1)
4YX4,A,S+3(1)
5FNI,A,S+3(1)
4R5B,A,S+3(1)
1RAY,A,S+3(1)
1CAI,A,S+3(1)
3M5T,A,S+3(1)
4PXX,A,S+3(1)
4E3D,A,S+3(1)
3N2P,A,S+3(1)
3T5Z,A,S+3(1)
1DCB,A,S+3(1)
3S9T,A,S+3(1)
6BCC,A,S+3(1)
5DSJ,A,S+3(1)
1G48,A,S+3(1)
5TI0,A,S+3(1)
3HKQ,A,S+3(1)
5JN7,A,S+3(1)
4QJW,A,S+3(1)
4Q7V,A,S+3(1)
1CAY,A,S+3(1)
4QSI,A,S+3(1)
3SAP,A,S+3(1)
1CCT,A,S+3(1)
4QTL,A,S+3(1)
3M2Z,A,S+3(1)
3P5L,A,S+3(1)
4KNI,A,S+3(1)
1BNU,A,S+3(1)
4MLX,A,S+3(1)
5JG5,B,S+3(1)
3SBH,A,S+3(1)
1CAL,A,S+3(1)
5JN1,A,S+3(1)
3KS3,A,S+3(1)
4CNR,A,S+3(1)
3MMF,A,S+3(1)
2Q1B,A,S+3(1)
1OKM,A,S+3(1)
3S71,B,S+3(1)
3DCW,A,S+3(1)
4IDR,X,S+3(1)
3M1J,A,S+3(1)
3HS4,A,S+3(1)
6CJV,A,S+3(1)
4RUX,A,S+3(1)
5JGT,B,S+3(1)
5DSI,A,S+3(1)
1RJ6,A,S+3(1)
5LLC,A,S+3(1)
3DD0,A,S+3(1)
4MO8,A,S+3(1)
3S78,B,S+3(1)
3V3J,A,S+3(1)
1G6V,A,S+3(1)
2IT4,A,S+3(1)
5A6H,A,S+3(1)
1KOQ,A,S+3(1)
1CVH,A,S+3(1)
4QY3,A,S+3(1)
5ULN,A,S+3(1)
4G0C,A,S+3(1)
5U0D,A,S+3(1)
1V9I,C,S+3(1)
1H9N,A,S+3(1)
3DVD,A,S+3(1)
4ZX1,A,S+3(1)
3HKU,A,S+3(1)
4ITO,A,S+3(1)
3V3H,B,S+3(1)
5BNL,A,S+3(1)
3E2D,A,S+3(1)
4ILX,A,S+3(1)
2POV,A,S+3(1)
5N1R,A,S+3(1)
5JQ0,A,S+3(1)
2HNC,A,S+3(1)
2FMZ,A,S+3(1)
5CAC,A,S+3(1)
5FLQ,A,S+3(1)
5CA2,A,S+3(1)
1T9N,A,S+3(1)
4Q8Y,A,S+3(1)
5O07,A,S+3(1)
3QYK,A,S+3(1)
5N1S,A,S+3(1)
5E2R,A,S+3(1)
1CAZ,A,S+3(1)
4YXU,A,S+3(1)
4Q78,A,S+3(1)
4RH2,A,S+3(1)
1BNW,A,S+3(1)
4JSA,A,S+3(1)
1XQ0,A,S+3(1)
1FQR,A,S+3(1)
5A25,A,S+3(1)
3NI5,A,S+3(1)
3K7K,A,S+3(1)
6G4T,A,S+3(1)
4FVN,A,S+3(1)
1FR4,A,S+3(1)
1CAH,A,S+3(1)
5JMZ,A,S+3(1)
3V3I,B,S+3(1)
1OKN,A,S+3(1)
4Q7W,A,S+3(1)
5AMG,A,S+3(1)
1UGA,A,S+3(1)
4HU1,A,S+3(1)
5E2K,A,S+3(1)
1ZSB,A,S+3(1)
4N16,A,S+3(1)
3T82,A,S+3(1)
4JSZ,A,S+3(1)
3Q3Q,A,S+3(1)
3M2Y,A,S+3(1)
3K2F,A,S+3(1)
3KIG,A,S+3(1)
3D9Z,A,S+3(1)
2Q38,A,S+3(1)
2OSM,A,S+3(1)
2NMX,A,S+3(1)
1CA3,A,S+3(1)
3RJ7,A,S+3(1)
3RLD,A,S+3(1)
6G9U,A,S+3(1)
5WGP,A,S+3(1)
5FL4,A,S+3(1)
5EOI,A,S+3(1)
4Q7S,A,S+3(1)
5EKJ,A,S+3(1)
4ZWI,A,S+3(1)
4ZWY,A,S+3(1)
3TVO,X,S+3(1)
4JSW,A,S+3(1)
3T83,A,S+3(1)
4HF3,A,S+3(1)
3LXE,A,S+3(1)
3U7C,A,S+3(1)
3U45,X,S+3(1)
1XPZ,A,S+3(1)
3HKT,A,S+3(1)
3P4V,A,S+3(1)
3L14,A,S+3(1)
1UGB,A,S+3(1)
3OIL,A,S+3(1)
5VPU,A,S+3(1)
3DVC,A,S+3(1)
1CNC,A,S+3(1)
1LG6,A,S+3(1)
3V3G,B,S+3(1)
3HFP,A,S+3(1)
4Q8X,A,S+3(1)
2NN1,A,S+3(1)
1A42,A,S+3(1)
1CNY,A,S+3(1)
5DSM,A,S+3(1)
5DSL,A,S+3(1)
4M2V,A,S+3(1)
3S77,B,S+3(1)
5YUI,A,S+3(1)
5N0E,A,S+3(1)
5LLH,A,S+3(1)
5FNK,A,S+3(1)
6D1M,A,S+3(1)
1CVD,A,S+3(1)
3M1W,A,S+3(1)
5FNG,A,S+3(1)
3UYQ,A,S+3(1)
1BNV,A,S+3(1)
3M5S,A,S+3(1)
2WEO,A,S+3(1)
2NN7,A,S+3(1)
5OGO,A,S+3(1)
4XFW,A,S+3(1)
4ZWX,A,S+3(1)
4XIW,A,S+3(1)
4RIU,A,S+3(1)
4CQ0,A,S+3(1)
4CNX,A,S+3(1)
3KWA,A,S+3(1)
3DCC,A,S+3(1)
1I9Q,A,S+3(1)
1I9L,A,S+3(1)
2HKK,A,S+3(1)
1FLJ,A,S+3(1)
2AW1,A,S+3(1)
1CNW,A,S+3(1)
1CRM,A,S+3(1)
1FR7,A,S+3(1)
2HL4,A,S+3(1)
3MNH,A,S+3(1)
3P58,A,S+3(1)
6BC9,A,S+3(1)
5WG7,A,S+3(1)
5MJN,A,S+3(1)
5JG3,B,S+3(1)
5JEG,B,S+3(1)
5J8Z,A,S+3(1)
4Y0J,A,S+3(1)
5BYI,A,S+3(1)
5C8I,A,S+3(1)
4ZX0,A,S+3(1)
4RFD,A,S+3(1)
4Q0L,A,S+3(1)
4L5W,A,S+3(1)
4CAC,A,S+3(1)
3TVN,X,S+3(1)
4HEZ,A,S+3(1)
3RG3,A,S+3(1)
3T84,A,S+3(1)
3OIM,A,S+3(1)
3RG4,A,S+3(1)
3RGE,A,S+3(1)
3P3H,A,S+3(1)
3OY0,A,S+3(1)
2NXR,A,S+3(1)
1YDB,A,S+3(1)
1TG3,A,S+3(1)
2NXS,A,S+3(1)
1YO1,A,S+3(1)
1CVC,A,S+3(1)
1HEC,A,S+3(1)
1TEU,X,S+3(1)
1TG9,A,S+3(1)
1LZV,A,S+3(1)
1RZE,A,S+3(1)
1KWR,A,S+3(1)
1CAJ,A,S+3(1)
1CIL,A,S+3(1)
6B4D,A,S+3(1)
1CAM,A,S+3(1)
1CVA,A,S+3(1)
5N0D,A,S+3(1)
5JQT,A,S+3(1)
5ZXW,A,S+3(1)
5LLA,A,S+3(1)
5LL5,A,S+3(1)
5GMM,A,S+3(1)
5E28,A,S+3(1)
4YVY,A,S+3(1)
4QJX,A,S+3(1)
4KNM,A,S+3(1)
4LP6,A,S+3(1)
4KUW,A,S+3(1)
3N4B,A,S+3(1)
3MDZ,A,S+3(1)
1XEG,A,S+3(1)
4QIY,A,S+3(1)
4PZH,A,S+3(1)
4Q6E,A,S+3(1)
4HT0,A,S+3(1)
2GEH,A,S+3(1)
1CCU,A,S+3(1)
1UGE,A,S+3(1)
5THN,A,S+3(1)
1BNM,A,S+3(1)
1CIM,A,S+3(1)
2H15,A,S+3(1)
3N3J,A,S+3(1)
4YXO,A,S+3(1)
4YYT,A,S+3(1)
4RUY,A,S+3(1)
8CA2,A,S+3(1)
3DA2,A,S+3(1)
6FAG,A,S+3(1)
6EX1,A,S+3(1)
6FAF,A,S+3(1)
6F3B,A,S+3(1)
6CTF,A,S+3(1)
2NWP,A,S+3(1)
1H4N,A,S+3(1)
3PJJ,A,S+3(1)
1G4J,A,S+3(1)
2NWY,A,S+3(1)
1KWQ,A,S+3(1)
1AVN,A,S+3(1)
1CA2,A,S+3(1)
4FU5,A,S+3(1)
4Q99,A,S+3(1)
4Q87,A,S+3(1)
4Q83,A,S+3(1)
4KV0,A,S+3(1)
4Q9Y,A,S+3(1)
4FVO,A,S+3(1)
5L9E,A,S+3(1)
3ZP9,A,S+3(1)
4QJO,A,S+3(1)
4QJP,A,S+3(1)
4HBA,A,S+3(1)
4L5U,A,S+3(1)
4KUV,A,S+3(1)
5N24,A,S+3(1)
4RFC,A,S+3(1)
5SZ6,A,S+3(1)
4E49,A,S+3(1)
1I9P,A,S+3(1)
1I9M,A,S+3(1)
1YDC,A,S+3(1)
2FOU,A,S+3(1)
1I91,A,S+3(1)
1IF5,A,S+3(1)
2CA2,A,S+3(1)
1G1D,A,S+3(1)
1HCA,A,S+3(1)
1I9O,A,S+3(1)
1HED,A,S+3(1)
1G4O,A,S+3(1)
1V9E,A,S+3(1)
1I8Z,A,S+3(1)
2CBB,A,S+3(1)
1I90,A,S+3(1)
1HEB,A,S+3(1)
1G52,A,S+3(1)
1IF8,A,S+3(1)
1JD0,A,S+3(1)
2FMG,A,S+3(1)
1CNX,A,S+3(1)
6CA2,A,S+3(1)
3CA2,A,S+3(1)
3TMJ,A,S+3(1)
3B4F,A,S+3(1)
2O4Z,A,S+3(1)
3F8E,A,S+3(1)
6ACD,A,S+3(1)
3EFI,A,S+3(1)
3DBU,A,S+3(1)
3KOK,A,S+3(1)
3EFT,A,S+3(1)
1YDA,A,S+3(1)
2WEG,A,S+3(1)
3FFP,X,S+3(1)
3V5G,A,S+3(1)
4CNW,A,S+3(1)
2Q1Q,A,S+3(1)
3D0N,A,S+3(1)
6H29,A,S+3(1)
6G9B,A,S+3(1)
1BCD,A,S+3(1)
1RZA,A,S+3(1)
1CZM,A,S+3(1)
9CA2,A,S+3(1)
1CIN,A,S+3(1)
1CAN,A,S+3(1)
1CRA,A,S+3(1)
1BIC,A,S+3(1)
1RZC,A,S+3(1)
1RZD,A,S+3(1)
1JV0,A,S+3(1)
1UGF,A,S+3(1)
1KOP,A,S+3(1)
1LG5,A,S+3(1)
1LUG,A,S+3(1)
2HD6,A,S+3(1)
1TBT,X,S+3(1)
1YO2,A,S+3(1)
3D8W,A,S+3(1)
3DD8,A,S+3(1)
2WD2,A,S+3(1)
2X7U,A,S+3(1)
3PYK,A,S+3(1)
3U47,A,S+3(1)
6HIX,BG,S+3(1)
4RIV,A,S+3(1)
1F2W,A,S+3(1)
5DSN,A,S+3(1)
5DSK,A,S+3(1)
5KGL,A,S+3(1)
5LJT,A,S+3(1)
2ABE,A,S+3(1)
5XWK,A,S+3(1)
6EA7,A,S+3(1)
6EA5,A,S+3(1)
5GSL,A,S+3(1)
5K6G,F,S+3(1)
6DZL,A,S+3(1)
6DZM,A,S+3(1)
5XNU,A,S+3(1)
5TDL,A,S+3(1)
6ACG,A,S+3(1)
6D05,A,S+3(1)
5XLS,A,S+3(1)
5ZNM,A,S+3(1)
6D04,A,S+3(1)
6D03,A,S+3(1)
6G9I,A,S+3(1)
5XAR,A,S+3(1)
5XAT,A,S+3(1)
5TJ3,A,S+3(1)
5UDE,F,S+3(1)
5UDC,A,S+3(1)
5TOK,A,S+3(1)
5TDG,A,S+3(1)
3FR8,A,S+3(1)
3MHO,A,S+3(1)
3MHI,A,S+3(1)
3C7P,A,S+3(1)
3D93,A,S+3(1)
3IBI,A,S+3(1)
3IAI,A,S+3(1)
4BF6,A,S+3(1)
1FQN,A,S+3(1)
3RZ8,A,S+3(1)
3RYZ,A,S+3(1)
3RYY,A,S+3(1)
1CVF,A,S+3(1)
5G2V,A,S+3(1)
5G2T,A,S+3(1)
5EA8,F,S+3(1)
5EA4,F,S+3(1)
5EA6,F,S+3(1)
5EA3,F,S+3(1)
5C6B,F,S+3(1)
5C69,A,S+3(1)
5EA5,F,S+3(1)
5EJB,A,S+3(1)
5EVM,A,S+3(1)
5DSP,A,S+3(1)
5ZJV,A,S+3(1)
5NVA,A,S+3(1)
6B1V,A,S+3(1)
6FNY,A,S+3(1)
6BAT,A,S+3(1)
6BAU,A,S+3(1)
6BAV,A,S+3(1)
6BMI,A,S+3(1)
5OLB,A,S+3(1)
5OHI,A,S+3(1)
6F5U,A,S+3(1)
6F6N,A,S+3(1)
6F6S,A,S+3(1)
5W23,A,S+3(1)
5YLF,A,S+3(1)
5YLE,A,S+3(1)
5YLC,A,S+3(1)
5TOO,A,S+3(1)
5TPQ,A,S+3(1)
6AWQ,A,S+3(1)
6AWP,A,S+3(1)
6AWO,A,S+3(1)
6AWN,A,S+3(1)
5NJB,B,S+3(1)
5NJA,B,S+3(1)
5NJ9,A,S+3(1)
5NJA,A,S+3(1)
5NJ5,A,S+3(1)
5NJB,A,S+3(1)
5NJ5,B,S+3(1)
5NJ9,B,S+3(1)
5VEO,A,S+3(1)
5MX9,A,S+3(1)
5M0S,A,S+3(1)
5KWW,F,S+3(1)
5XAS,A,S+3(1)
5X9R,A,S+3(1)
5G2U,A,S+3(1)
5UDD,A,S+3(1)
5UDY,A,S+3(1)
5TCD,A,S+3(1)
5FGN,A,S+3(1)
5M8A,A,S+3(1)
5M8J,A,S+3(1)
5M8K,A,S+3(1)
5M87,A,S+3(1)
5FQL,A,S+3(1)
5GOV,A,S+3(1)
5GS6,A,S+3(1)
5GRR,A,S+3(1)
5LRM,A,S+3(1)
5K6C,F,S+3(1)
5KHU,T,S+3(1)
5KEL,A,S+3(1)
5KEM,A,S+3(1)
5KEN,A,S+3(1)
5K4P,A,S+3(1)
5K6B,F,S+3(1)
5J4I,A,S+3(1)
5J4N,A,S+3(1)
5E5U,A,S+3(1)
5EW5,A,S+3(1)
5JNX,C,S+3(1)
5IJQ,A,S+3(1)
5IJS,A,S+3(1)
5JAG,A,S+3(1)
5JAF,A,S+3(1)
5JAE,A,S+3(1)
5C66,A,S+3(1)
5CFY,A,S+3(1)
5DLW,A,S+3(1)
5DLV,A,S+3(1)
5AJ9,A,S+3(1)
5HJ3,C,S+3(1)
5EGH,A,S+3(1)
5EGE,A,S+3(1)
5F1B,A,S+3(1)
4XPB,A,S+3(1)
4XPA,A,S+3(1)
4XP6,A,S+3(1)
4XNX,A,S+3(1)
4XNU,A,S+3(1)
4YZF,A,S+3(1)
5DA0,A,S+3(1)
5C50,B,S+3(1)
4ZG7,A,S+3(1)
4ZYP,A,S+3(1)
4CXS,A,S+3(1)
4XPF,A,S+3(1)
4XPG,A,S+3(1)
4XPH,A,S+3(1)
4XPT,A,S+3(1)
4XP9,C,S+3(1)
4XP5,A,S+3(1)
4XP4,A,S+3(1)
4XP1,A,S+3(1)
4QAX,A,S+3(1)
4YR1,A,S+3(1)
4CYS,A,S+3(1)
4CYR,A,S+3(1)
4CXK,A,S+3(1)
4CXU,A,S+3(1)
3X2D,A,S+3(1)
4WSG,A,S+3(1)
4NWX,A,S+3(1)
4NWJ,A,S+3(1)
4TZO,A,S+3(1)
4WGV,A,S+3(1)
4WGW,A,S+3(1)
1WOG,A,S+3(1)
4X2S,A,S+3(1)
4TN0,A,S+3(1)
1N2M,A,S+3(1)
2QQD,C,S+3(1)
2XQ2,B,S+3(1)
2V64,A,S+3(1)
3BDG,B,S+3(1)
1KI6,B,S+3(1)
3GI9,C,S+3(1)
3PZL,A,S+3(1)
3NIQ,A,S+3(1)
3NIP,A,S+3(1)
1WOI,A,S+3(1)
1GQ6,A,S+3(1)
1GQ7,A,S+3(1)
4AEZ,B,S+3(1)
1WOH,A,S+3(1)
3WAV,A,S+3(1)
3WAW,A,S+3(1)
3WAX,A,S+3(1)
3WAY,A,S+3(1)
2XRG,A,S+3(1)
3NKM,A,S+3(1)
3NKO,A,S+3(1)
3NKP,A,S+3(1)
1VLF,M,S+3(1)
1VLE,M,S+3(1)
1TI2,A,S+3(1)
1TI4,A,S+3(1)
3NKR,A,S+3(1)
4DJK,A,S+3(1)
4DJI,A,S+3(1)
3CSY,I,S+3(1)
4US3,A,S+3(1)
4US4,A,S+3(1)
4UOP,A,S+3(1)
3S88,I,S+3(1)
3VE0,I,S+3(1)
4OYE,A,S+3(1)
3NKN,A,S+3(1)
1PGI,A,S+3(1)
4UOR,A,S+3(1)
4UOO,A,S+3(1)
2B9B,A,S+3(1)
3P12,A,S+3(1)
2GA3,A,S+3(1)
4JBY,A,S+3(1)
4JBX,A,S+3(1)
4IVR,A,S+3(1)
4IVQ,A,S+3(1)
4IVP,A,S+3(1)
3M8Y,A,S+3(1)
3M8W,A,S+3(1)
4LRB,A,S+3(1)
4LR9,A,S+3(1)
4LRA,A,S+3(1)
4LR7,A,S+3(1)
3UO0,A,S+3(1)
3UNY,A,S+3(1)
3UN2,A,S+3(1)
4MME,A,S+3(1)
4MMD,A,S+3(1)
4MMC,A,S+3(1)
4MMA,A,S+3(1)
4MM8,A,S+3(1)
4MM6,A,S+3(1)
4MM9,A,S+3(1)
4MM4,A,S+3(1)
4MM5,A,S+3(1)
4HMK,A,S+3(1)
4HOD,A,S+3(1)
4FY0,A,S+3(1)
3USO,A,S+3(1)
3USP,A,S+3(1)
3USM,A,S+3(1)
3USK,A,S+3(1)
3USL,A,S+3(1)
3USI,A,S+3(1)
3USJ,A,S+3(1)
3USG,A,S+3(1)
3TT3,A,S+3(1)
3TT1,A,S+3(1)
4M8J,A,S+3(1)
3KBC,A,S+3(1)
4KJG,A,S+3(1)
4LQY,A,S+3(1)
4KAY,A,S+3(1)
4GUE,A,S+3(1)
4AIN,A,S+3(1)
4DOJ,A,S+3(1)
4FDJ,A,S+3(1)
4EL9,A,S+3(1)
3V8F,A,S+3(1)
3V8G,A,S+3(1)
3TV9,A,S+3(1)
4IZM,A,S+3(1)
4GTX,A,S+3(1)
4GTY,A,S+3(1)
4GTZ,A,S+3(1)
3RDP,A,S+3(1)
3TX0,A,S+3(1)
3TWZ,A,S+3(1)
1OGF,A,S+3(1)
1OGE,A,S+3(1)
4OYF,A,S+3(1)
3SZZ,A,S+3(1)
3T00,A,S+3(1)
3T01,A,S+3(1)
4OQL,A,S+3(1)
4OQX,A,S+3(1)
4OQN,A,S+3(1)
4OQM,A,S+3(1)
3QE7,A,S+3(1)
4P6H,C,S+3(1)
4P6H,B,S+3(1)
4P6H,A,S+3(1)
4P3J,C,S+3(1)
4P3J,B,S+3(1)
4P3J,A,S+3(1)
4P1A,C,S+3(1)
4P1A,B,S+3(1)
4P1A,A,S+3(1)
4P19,C,S+3(1)
4P19,B,S+3(1)
4P19,A,S+3(1)
4OYG,F,S+3(1)
4OYG,A,S+3(1)
4OYG,E,S+3(1)
4OYG,D,S+3(1)
4OYG,C,S+3(1)
4OYG,B,S+3(1)
4D1D,A,S+3(1)
4D1C,A,S+3(1)
4D1B,A,S+3(1)
4D1A,A,S+3(1)
4LLH,A,S+3(1)
4LLH,B,S+3(1)
4LLH,C,S+3(1)
4MIV,A,S+3(1)
4MIV,B,S+3(1)
4MIV,C,S+3(1)
4MIV,D,S+3(1)
4MIV,E,S+3(1)
4MIV,F,S+3(1)
4MIV,G,S+3(1)
4MIV,H,S+3(1)
4MHX,A,S+3(1)
4MHX,B,S+3(1)
1AJA,A,S+3(1)
1AJB,A,S+3(1)
1AJC,A,S+3(1)
1AJD,A,S+3(1)
1ALI,A,S+3(1)
1ALJ,A,S+3(1)
1ALK,A,S+3(1)
1ANI,A,S+3(1)
1ANJ,A,S+3(1)
1AUK,A,S+3(1)
1B8J,A,S+3(1)
1E1Z,P,S+3(1)
1E2H,A,S+3(1)
1E2I,A,S+3(1)
1E2J,A,S+3(1)
1E2K,A,S+3(1)
1E2L,A,S+3(1)
1E2M,A,S+3(1)
1E2N,A,S+3(1)
1E2P,A,S+3(1)
1E2S,P,S+3(1)
1E33,P,S+3(1)
1E3C,P,S+3(1)
1ED8,A,S+3(1)
1ED9,A,S+3(1)
1EI6,A,S+3(1)
1EJJ,A,S+3(1)
1ELX,A,S+3(1)
1ELY,A,S+3(1)
1ELZ,A,S+3(1)
1EQJ,A,S+3(1)
1EW2,A,S+3(1)
1EW8,A,S+3(1)
1EW9,A,S+3(1)
1FSU,A,S+3(1)
1HDH,A,S+3(1)
1HJK,A,S+3(1)
1HQA,A,S+3(1)
1JCH,A,S+3(1)
1K7H,A,S+3(1)
1KH4,A,S+3(1)
1KH5,A,S+3(1)
1KH7,A,S+3(1)
1KH9,A,S+3(1)
1KHJ,A,S+3(1)
1KHK,A,S+3(1)
1KHL,A,S+3(1)
1KHN,A,S+3(1)
1KI2,A,S+3(1)
1KI3,A,S+3(1)
1KI4,A,S+3(1)
1KI6,A,S+3(1)
1KI7,A,S+3(1)
1KI8,A,S+3(1)
1KIM,A,S+3(1)
1LNS,A,S+3(1)
1N2K,A,S+3(1)
1N2L,A,S+3(1)
1O98,A,S+3(1)
1O99,A,S+3(1)
1OF1,A,S+3(1)
1OGC,A,S+3(1)
1OGD,A,S+3(1)
1OSN,A,S+3(1)
1P49,A,S+3(1)
1P6X,A,S+3(1)
1P72,A,S+3(1)
1P73,A,S+3(1)
1P75,A,S+3(1)
1P7C,A,S+3(1)
1QHI,A,S+3(1)
1RH1,A,S+3(1)
1SHN,A,S+3(1)
1SHQ,A,S+3(1)
1TI6,A,S+3(1)
1URA,A,S+3(1)
1URB,A,S+3(1)
1VL4,A,S+3(1)
1VPB,A,S+3(1)
1VTK,A,S+3(1)
1XFH,A,S+3(1)
1Y6V,A,S+3(1)
1Y7A,A,S+3(1)
1ZEB,A,S+3(1)
1ZED,A,S+3(1)
1ZEF,A,S+3(1)
2A65,A,S+3(1)
2ANH,A,S+3(1)
2AXC,A,S+3(1)
2B5U,A,S+3(1)
2D1G,A,S+3(1)
2G9Y,A,S+3(1)
2GLQ,A,S+3(1)
2GSN,A,S+3(1)
2GSO,A,S+3(1)
2GSU,A,S+3(1)
2HJN,A,S+3(1)
2IFY,A,S+3(1)
2IUC,A,S+3(1)
2IUC,B,S+3(1)
2J6B,A,S+3(1)
2J6C,A,S+3(1)
2J85,A,S+3(1)
2JLN,A,S+3(1)
2JLO,A,S+3(1)
2KI5,A,S+3(1)
2NWL,A,S+3(1)
2NWW,A,S+3(1)
2NWX,A,S+3(1)
2OB5,A,S+3(1)
2Q72,A,S+3(1)
2QEI,A,S+3(1)
2QZU,A,S+3(1)
2RH6,A,S+3(1)
2VQR,A,S+3(1)
2VTK,A,S+3(1)
2W5Q,A,S+3(1)
2W5R,A,S+3(1)
2W5S,A,S+3(1)
2W5T,A,S+3(1)
2W5V,A,S+3(1)
2W5W,A,S+3(1)
2W5X,A,S+3(1)
2W8D,A,S+3(1)
2W8S,A,S+3(1)
2WCU,A,S+3(1)
2WCV,A,S+3(1)
2WIT,A,S+3(1)
2WSW,A,S+3(1)
2WSX,A,S+3(1)
2WXZ,C,S+3(1)
2X4I,A,S+3(1)
2X79,A,S+3(1)
2X98,A,S+3(1)
2XQ2,A,S+3(1)
2XR9,A,S+3(1)
2XTJ,A,S+3(1)
2ZKT,A,S+3(1)
3A52,A,S+3(1)
3B5Q,A,S+3(1)
3BDF,A,S+3(1)
3BDG,A,S+3(1)
3BDH,A,S+3(1)
3CMR,A,S+3(1)
3DH4,A,S+3(1)
3DPC,A,S+3(1)
3DYC,A,S+3(1)
3E7N,A,S+3(1)
3ED4,A,S+3(1)
3EN9,A,S+3(1)
3F0T,A,S+3(1)
3F3A,A,S+3(1)
3F3C,A,S+3(1)
3F3D,A,S+3(1)
3F3E,A,S+3(1)
3F48,A,S+3(1)
3F4I,A,S+3(1)
3F4J,A,S+3(1)
3F7U,A,S+3(1)
3FSG,A,S+3(1)
3GI8,C,S+3(1)
3GIA,A,S+3(1)
3GJC,A,S+3(1)
3GJD,A,S+3(1)
3GWU,A,S+3(1)
3GWV,A,S+3(1)
3GWW,A,S+3(1)
3HFX,A,S+3(1)
3IDD,A,S+3(1)
3IGY,B,S+3(1)
3IGZ,B,S+3(1)
3KD8,A,S+3(1)
3L1L,A,S+3(1)
3LRB,A,S+3(1)
3LRC,A,S+3(1)
3LXQ,A,S+3(1)
3M7V,A,S+3(1)
3M8Z,A,S+3(1)
3MFB,A,S+3(1)
3MK0,A,S+3(1)
3MK1,A,S+3(1)
3MK2,A,S+3(1)
3MPN,A,S+3(1)
3MPQ,A,S+3(1)
3MVK,A,S+3(1)
3NCY,A,S+3(1)
3NKQ,A,S+3(1)
3NVL,A,S+3(1)
3OB6,A,S+3(1)
3OT9,A,S+3(1)
3P03,A,S+3(1)
3P13,A,S+3(1)
3QS4,A,S+3(1)
3QS5,A,S+3(1)
3QS6,A,S+3(1)
3QTD,A,S+3(1)
3RFY,A,S+3(1)
3SZY,A,S+3(1)
3T02,A,S+3(1)
3TG0,A,S+3(1)
3TU0,A,S+3(1)
3UBD,A,S+3(1)
3UN3,A,S+3(1)
3UN5,A,S+3(1)
3VTK,A,S+3(1)
4A34,A,S+3(1)
4B56,A,S+3(1)
4BIN,A,S+3(1)
4C7R,A,S+3(1)
4DZ4,A,S+3(1)
4FDI,A,S+3(1)
4FXZ,A,S+3(1)
4GTW,A,S+3(1)
4J7H,A,S+3(1)
4KAV,A,S+3(1)
4KJD,A,S+3(1)
4KM4,A,S+3(1)
4KY0,A,S+3(1)
4LR2,A,S+3(1)
4LR8,A,S+3(1)
4LRC,A,S+3(1)
4LRD,A,S+3(1)
4LRE,A,S+3(1)
4LRF,A,S+3(1)
4M48,A,S+3(1)
4MM7,A,S+3(1)
4MMB,A,S+3(1)
4MMF,A,S+3(1)
4MY4,A,S+3(1)
4N7T,A,S+3(1)
4O6B,A,S+3(1)
2Q6H,A,S+3(1)
2QB4,A,S+3(1)
2QJU,A,S+3(1)
6SJ9,A,S-3(1)
6KUK,A,S-3(1)
6KUP,A,S-3(1)
6KUT,A,S-3(1)
6KUV,A,S-3(1)
6KV5,A,S-3(1)
6O6J,A,S-3(1)
6O7A,A,S-3(1)
5KGN,A,S-3(1)
3WBH,A,S-3(1)
3E2D,A,S-3(1)
3Q3Q,A,S-3(1)
5VPU,A,S-3(1)
6FIJ,A,S-3(1)
5XWK,A,S-3(1)
5KGL,A,S-3(1)
5IEQ,A,S-3(1)
5IF5,A,S-3(1)
5IF7,A,S-3(1)
3TB3,A,S-3(1)
1Z8G,A,S-3(1)
5CE1,A,S-3(1)
5A42,A,S-3(1)
4ZG6,A,S-3(1)
4CBP,A,S-3(1)
2M9P,A,S-3(1)
2M9Q,A,S-3(1)
4BV6,A,S-3(1)
4LII,A,S-3(1)
4KY9,A,S-3(1)
4BXW,A,S-3(1)
3NDA,A,S-3(1)
3CM8,A,S-3(1)
2CFA,B,S-3(1)
1XJD,A,S-3(1)
1LM4,A,S-3(1)
